612,2143
417,3013
326,6829
472,4679
881,8967
18,211
603,3473
183,4740
554,9022
804,633
859,3412
138,900
720,7701
341,3157
114,5711
943,4855
659,4786
305,951
469,7595
533,2453
327,6936
573,5422
488,6638
338,943
350,2893
796,7735
479,7797
198,5090
58,7484
508,6795
310,5034
185,4173
500,7516
952,3997
478,1312
582,3753
674,7706
312,1045
598,3086
144,7535
105,8795
840,7814
54,4345
56,2289
982,330
882,8166
487,5239
387,4892
783,4924
30,3572
755,3806
890,2708
977,6265
699,7490
640,2426
125,9026
395,6366
493,7965
768,5427
235,3287
895,4993
294,5122
278,903
60,8269
917,1986
242,5759
355,4470
466,3626
584,7677
563,1714
192,7582
558,7356
485,8102
100,5220
909,9808
23,3228
237,7517
151,946
16,3158
892,2570
448,6384
568,1768
292,3425
693,5479
204,8177
299,7501
34,1315
745,5011
824,6684
884,3429
199,6925
12,834
650,2350
398,8242
458,8219
107,9020
35,9213
467,3050
615,8482
903,3985
814,557
714,3602
230,9125
759,5677
772,1421
831,9887
569,1247
661,7973
860,8038
159,4517
348,2438
174,1468
14,2341
821,5312
473,4421
223,9769
407,4307
880,5130
869,3251
210,7821
31,1228
445,2220
318,5582
68,5444
297,4795
247,5141
618,1533
649,8017
960,2867
787,996
184,8861
920,2365
780,229
871,4049
182,4911
136,8180
548,5560
841,6420
962,2333
560,3940
608,6686
989,4290
908,6587
893,5984
149,6368
790,5890
358,6592
231,6917
925,5307
5,9701
88,4626
902,3417
74,5062
215,627
418,1780
865,7985
416,8467
511,483
636,8602
205,1423
20,8485
731,747
168,1167
25,8609
539,5778
11,5322
197,1206
324,12
742,7514
570,3333
595,186
116,8373
795,5536
365,930
616,9644
436,5600
753,1913
414,5306
632,2038
77,2198
264,8667
924,8348
94,8113
624,7130
359,1903
384,7006
959,6312
601,367
662,8140
947,2679
981,6804
26,2103
907,6913
991,7370
279,2899
957,5980
760,5541
145,2722
7,4332
689,3649
276,9730
521,7413
586,9727
963,7391
541,7949
155,1005
364,8625
380,9766
240,9248
381,3818
283,4186
10,403
410,6518
267,1192
847,8616
506,2964
765,4583
52,3875
496,3567
536,128
325,7371
842,5459
687,6158
743,3646
70,9063
945,1356
941,6768
969,3303
549,1174
470,8036
778,5732
956,4385
754,5530
519,331
17,6667
677,7002
142,733
186,4555
811,9005
810,7601
340,6880
785,2638
516,8380
2,8898
596,2434
222,2483
285,8623
631,4250
604,3923
382,554
867,198
422,3710
103,461
37,9460
697,3555
854,6403
770,4075
373,1490
147,3657
793,9532
152,3437
973,4808
769,1772
251,2357
611,9495
587,8364
62,1282
133,6527
878,6938
29,975
426,6550
256,5774
822,6316
791,1582
453,4428
179,4115
757,2135
600,6354
523,5928
362,7489
462,8641
641,8398
111,5144
140,6423
456,6611
671,1088
189,5450
207,8360
599,5733
776,1392
97,2488
331,5313
411,1937
428,8032
910,7077
42,2523
627,36
936,1940
873,7691
972,6679
226,932
287,4563
309,9801
645,7291
537,6320
92,9694
581,2803
491,2713
399,4705
655,2080
451,2132
200,8808
851,8771
334,3618
335,1127
306,6246
951,9398
1,1213
419,236
368,6382
353,3857
983,195
302,4694
177,5489
474,1599
788,5256
729,2163
799,151
685,5868
392,6822
80,8483
792,7548
379,3900
212,3758
732,1619
885,2207
698,1797
315,1892
112,7260
805,9055
390,294
625,313
282,188
50,5328
646,7740
580,3457
137,1291
260,2029
375,9767
919,8552
203,4908
63,3165
261,6410
413,4170
930,8743
423,8608
464,8037
347,4251
288,1493
342,7276
933,2046
863,582
626,9601
525,7957
703,3866
227,371
798,4691
628,9686
486,180
489,7136
904,1749
950,2382
59,1743
477,5837
664,8339
905,1692
402,3904
843,5729
896,2050
607,9651
135,7304
545,1661
322,317
317,7658
688,3356
846,1251
819,2264
585,2821
344,9550
663,5496
218,2625
676,2167
106,3584
656,4782
408,6895
195,5481
446,3095
113,5441
747,1838
102,9982
913,6489
81,5553
858,8814
499,5562
999,3113
730,5168
298,8927
139,4749
280,2233
809,7066
922,8915
224,9474
544,4499
734,7983
668,5716
332,9007
120,3369
803,6893
524,6621
48,5780
839,2351
944,8152
572,4178
906,6519
301,9112
233,4237
937,8576
744,6206
24,4048
557,1293
670,8049
98,5497
574,5183
216,5197
953,1112
634,4565
756,9218
577,1360
475,5720
875,910
401,2614
444,8738
610,1791
722,8496
84,7237
826,1168
678,6365
887,7189
254,3052
328,7000
420,3448
439,3231
196,373
376,2155
872,3338
115,2905
773,5092
178,7616
15,660
899,2290
501,4141
527,3179
971,7952
985,429
593,1220
320,2959
176,8460
494,2360
836,8303
592,8081
412,8556
180,1183
243,550
606,5442
83,7513
681,5224
978,5632
43,5524
124,8543
82,3977
161,2702
954,2972
921,1870
482,9223
454,6840
852,4224
190,3805
460,1667
495,9090
806,8228
861,4236
737,6144
779,120
263,2104
391,1707
583,874
666,8271
277,9584
695,1813
150,1218
